code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,d_N/A,d_2less,d_2_5,d_5_10,d_10_20,d_20_30,d_30_40,d_40_60,d_60plus,d_home,d_offshore
E06000001,Hartlepool,448118,530661,E92000001,E12000001,E14000733,,,,54589,5891,7286,3159,5623,1779,575,363,711,6570,5792
E06000002,Middlesbrough,450380,516653,E92000001,E12000001,E14000819,,,,87490,7933,13055,9102,3755,1427,833,676,1069,9478,9106
E06000003,Redcar and Cleveland,463383,518023,E92000001,E12000001,E14000820,,,,80910,5697,6555,9153,9990,1906,1002,814,1251,10019,9234
E06000004,Stockton-on-Tees,443484,518785,E92000001,E12000001,E14000970,,,,110152,9414,14069,16003,9943,2085,1097,1208,1561,18809,12254
E06000005,Darlington,429038,517147,E92000001,E12000001,E14000658,,,,58503,8070,9043,3522,4531,3828,524,737,850,11962,6230
E06000006,Halton,352162,383230,E92000001,E12000002,E14000725,,,,69772,7083,9500,8189,7133,2431,1118,329,605,14548,7770
E06000011,East Riding of Yorkshire,499908,442365,E92000001,E12000003,E14000556,,,,186095,17912,13051,17313,22337,10386,5925,4593,3450,38568,22586
E06000012,North East Lincolnshire,523749,406881,E92000001,E12000003,E14000643,,,,88114,11295,17800,8712,5179,1997,1220,742,1233,9605,11066
E06000014,York,461737,451799,E92000001,E12000003,E14001062,,,,106623,14433,17389,7608,3706,2245,2114,1786,1492,34159,11267
E06000015,Derby,435851,335169,E92000001,E12000004,E14000662,,,,145163,16294,24874,12138,12679,4400,1202,1369,1482,27260,14504
E06000017,Rutland,491121,307844,E92000001,E12000004,E14000909,,,,22266,2718,818,1582,2008,1210,657,403,412,6404,2572
E06000018,Nottingham,455451,340739,E92000001,E12000004,E14000865,,,,194765,17317,27092,17441,7857,3604,1342,761,2717,32915,17821
E06000019,Herefordshire,349035,245285,E92000001,E12000005,E14000743,,,,98523,13123,10006,7757,9945,5139,1993,1608,2112,22618,14210
E06000020,Telford and Wrekin,367109,314837,E92000001,E12000005,E14000989,,,,100044,9829,15548,12318,6781,4567,1880,1461,1426,20430,11257
E06000021,Stoke-on-Trent,389018,346716,E92000001,E12000005,E14000974,,,,145789,15678,25099,21545,8558,3706,961,1502,1581,17161,16789
E06000023,Bristol,346546,172919,E92000001,E12000009,E14000599,,,,233955,30808,42525,25277,11434,1827,1514,1730,2561,92026,28808
E06000024,North Somerset,344429,165882,E92000001,E12000009,E14000850,,,,114026,12386,9580,9107,13035,6532,2206,820,1178,33466,14392
