code,category,value,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011
E06000001,popDensity,985.5,Hartlepool,448118,530661,E92000001,E12000001,E14000733,,,
E06000002,popDensity,2671.2,Middlesbrough,450380,516653,E92000001,E12000001,E14000819,,,
E06000003,popDensity,557.1,Redcar and Cleveland,463383,518023,E92000001,E12000001,E14000820,,,
E06000004,popDensity,959.3,Stockton-on-Tees,443484,518785,E92000001,E12000001,E14000970,,,
E06000005,popDensity,545.9,Darlington,429038,517147,E92000001,E12000001,E14000658,,,
E06000006,popDensity,1624.3,Halton,352162,383230,E92000001,E12000002,E14000725,,,
E06000011,popDensity,142.4,East Riding of Yorkshire,499908,442365,E92000001,E12000003,E14000556,,,
E06000012,popDensity,815,North East Lincolnshire,523749,406881,E92000001,E12000003,E14000643,,,
E06000014,popDensity,745.8,York,461737,451799,E92000001,E12000003,E14001062,,,
E06000015,popDensity,3349.5,Derby,435851,335169,E92000001,E12000004,E14000662,,,
E06000017,popDensity,107.5,Rutland,491121,307844,E92000001,E12000004,E14000909,,,
E06000018,popDensity,4337.6,Nottingham,455451,340739,E92000001,E12000004,E14000865,,,
E06000019,popDensity,85.8,Herefordshire,349035,245285,E92000001,E12000005,E14000743,,,
E06000020,popDensity,639.1,Telford and Wrekin,367109,314837,E92000001,E12000005,E14000989,,,
E06000021,popDensity,2764.8,Stoke-on-Trent,389018,346716,E92000001,E12000005,E14000974,,,
E06000023,popDensity,4308.1,Bristol,346546,172919,E92000001,E12000009,E14000599,,,
E06000024,popDensity,579.9,North Somerset,344429,165882,E92000001,E12000009,E14000850,,,
E06000026,popDensity,3314.8,Plymouth,249389,56735,E92000001,E12000009,E14000879,,,
E06000027,popDensity,2215.6,Torbay,291417,61223,E92000001,E12000009,E14000999,,,
E06000031,popDensity,628.1,Peterborough,518343,302621,E92000001,E12000006,E14000855,,,
E06000032,popDensity,5196,Luton,508515,222915,E92000001,E12000006,E14000801,,,
E06000035,popDensity,1444.2,Medway,578769,172759,E92000001,E12000008,E14000626,,,
E06000036,popDensity,1139.2,Bracknell Forest,487739,168395,E92000001,E12000008,E14000586,,,
E06000037,popDensity,229.3,West Berkshire,448409,172535,E92000001,E12000008,E14000830,,,
E06000038,popDensity,4312.6,Reading,470639,173186,E92000001,E12000008,E14000889,,,
E06000039,popDensity,4871.5,Slough,498180,179746,E92000001,E12000008,E14000930,,,
E06000040,popDensity,781.1,Windsor and Maidenhead,490435,177040,E92000001,E12000008,E14000803,,,
E06000041,popDensity,991.7,Wokingham,477672,170613,E92000001,E12000008,E14000586,,,
E06000042,popDensity,930.1,Milton Keynes,486881,243629,E92000001,E12000008,E14000821,,,
E06000043,popDensity,3345.3,Brighton and Hove,531606,106526,E92000001,E12000008,E14000597,,,
E06000044,popDensity,5149.8,Portsmouth,465010,102752,E92000001,E12000008,E14000883,,,
E06000045,popDensity,4990.5,Southampton,442376,113232,E92000001,E12000008,E14000901,,,
E06000047,popDensity,234.5,County Durham,410446,533389,E92000001,E12000001,E14000840,,,
E06000050,popDensity,388.2,Cheshire West and Chester,350919,367257,E92000001,E12000002,E14000640,,,
E06000051,popDensity,101.2,Shropshire,350424,304422,E92000001,E12000005,E14000992,,,
E06000053,popDensity,125.9,Isles of Scilly,91546,11139,E92000001,E12000009,E14000964,,,
E06000054,popDensity,156.8,Wiltshire,403934,155301,E92000001,E12000009,E14000954,,,
E06000055,popDensity,388.8,Bedford,504237,255656,E92000001,E12000006,E14000552,,,
E06000056,popDensity,411.2,Central Bedfordshire,507413,235392,E92000001,E12000006,E14000801,,,
E06000057,popDensity,63.9,Northumberland,395886,594161,E92000001,E12000001,E14000554,,,
E06000058,popDensity,2469.2,Bournemouth Christchurch and Poole,408362,94131,E92000001,E12000009,E14000584,,,
E06000059,popDensity,152.4,Dorset,376581,100771,E92000001,E12000009,E14000638,,,
E06000060,popDensity,353.4,Buckinghamshire,482081,210241,E92000001,E12000008,E14000631,,,
E06000061,popDensity,364.4,North Northamptonshire,493494,281667,E92000001,E12000004,E14000648,,,
E06000062,popDensity,309.1,West Northamptonshire,465908,258722,E92000001,E12000004,E14000660,,,
E07000008,popDensity,3579.2,Cambridge,545770,257755,E92000001,E12000006,E14000934,,,
E07000009,popDensity,134.8,East Cambridgeshire,556466,274112,E92000001,E12000006,E14000842,,,
E07000010,popDensity,187.5,Fenland,539807,298084,E92000001,E12000006,E14000842,,,
E07000012,popDensity,179.8,South Cambridgeshire,542444,254795,E92000001,E12000006,E14000934,,,
E07000026,popDensity,77.4,Allerdale,319765,535836,E92000001,E12000002,E14000647,,,
E07000027,popDensity,865.3,Barrow-in-Furness,320831,470657,E92000001,E12000002,E14000543,,,
E07000028,popDensity,106,Carlisle,348339,564335,E92000001,E12000002,E14000620,,,
E07000029,popDensity,91.7,Copeland,310947,502927,E92000001,E12000002,E14000647,,,
E07000030,popDensity,25.5,Eden,359952,524354,E92000001,E12000002,E14000877,,,
E07000031,popDensity,68,South Lakeland,344716,488871,E92000001,E12000002,E14000543,,,
E07000032,popDensity,475.6,Amber Valley,435845,348157,E92000001,E12000004,E14000533,,,
