code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,popDensity
E06000001,Hartlepool,448118,530661,E92000001,E12000001,E14000733,,,,985.5
E06000002,Middlesbrough,450380,516653,E92000001,E12000001,E14000819,,,,2671.2
E06000003,Redcar and Cleveland,463383,518023,E92000001,E12000001,E14000820,,,,557.1
E06000004,Stockton-on-Tees,443484,518785,E92000001,E12000001,E14000970,,,,959.3
E06000005,Darlington,429038,517147,E92000001,E12000001,E14000658,,,,545.9
E06000006,Halton,352162,383230,E92000001,E12000002,E14000725,,,,1624.3
E06000011,East Riding of Yorkshire,499908,442365,E92000001,E12000003,E14000556,,,,142.4
E06000012,North East Lincolnshire,523749,406881,E92000001,E12000003,E14000643,,,,815
E06000014,York,461737,451799,E92000001,E12000003,E14001062,,,,745.8
E06000015,Derby,435851,335169,E92000001,E12000004,E14000662,,,,3349.5
E06000017,Rutland,491121,307844,E92000001,E12000004,E14000909,,,,107.5
E06000018,Nottingham,455451,340739,E92000001,E12000004,E14000865,,,,4337.6
E06000019,Herefordshire,349035,245285,E92000001,E12000005,E14000743,,,,85.8
E06000020,Telford and Wrekin,367109,314837,E92000001,E12000005,E14000989,,,,639.1
E06000021,Stoke-on-Trent,389018,346716,E92000001,E12000005,E14000974,,,,2764.8
E06000023,Bristol,346546,172919,E92000001,E12000009,E14000599,,,,4308.1
E06000024,North Somerset,344429,165882,E92000001,E12000009,E14000850,,,,579.9
E06000026,Plymouth,249389,56735,E92000001,E12000009,E14000879,,,,3314.8
E06000027,Torbay,291417,61223,E92000001,E12000009,E14000999,,,,2215.6
E06000031,Peterborough,518343,302621,E92000001,E12000006,E14000855,,,,628.1
E06000032,Luton,508515,222915,E92000001,E12000006,E14000801,,,,5196
E06000035,Medway,578769,172759,E92000001,E12000008,E14000626,,,,1444.2
E06000036,Bracknell Forest,487739,168395,E92000001,E12000008,E14000586,,,,1139.2
E06000037,West Berkshire,448409,172535,E92000001,E12000008,E14000830,,,,229.3
E06000038,Reading,470639,173186,E92000001,E12000008,E14000889,,,,4312.6
E06000039,Slough,498180,179746,E92000001,E12000008,E14000930,,,,4871.5
E06000040,Windsor and Maidenhead,490435,177040,E92000001,E12000008,E14000803,,,,781.1
E06000041,Wokingham,477672,170613,E92000001,E12000008,E14000586,,,,991.7
E06000042,Milton Keynes,486881,243629,E92000001,E12000008,E14000821,,,,930.1
E06000043,Brighton and Hove,531606,106526,E92000001,E12000008,E14000597,,,,3345.3
E06000044,Portsmouth,465010,102752,E92000001,E12000008,E14000883,,,,5149.8
E06000045,Southampton,442376,113232,E92000001,E12000008,E14000901,,,,4990.5
E06000047,County Durham,410446,533389,E92000001,E12000001,E14000840,,,,234.5
E06000050,Cheshire West and Chester,350919,367257,E92000001,E12000002,E14000640,,,,388.2
E06000051,Shropshire,350424,304422,E92000001,E12000005,E14000992,,,,101.2
E06000053,Isles of Scilly,91546,11139,E92000001,E12000009,E14000964,,,,125.9
E06000054,Wiltshire,403934,155301,E92000001,E12000009,E14000954,,,,156.8
E06000055,Bedford,504237,255656,E92000001,E12000006,E14000552,,,,388.8
E06000056,Central Bedfordshire,507413,235392,E92000001,E12000006,E14000801,,,,411.2
