code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,home,metro,train,bus,taxi,motorcycle,carDriver,carPassenger,bicycle,foot,other,noWork
E06000001,Hartlepool,448118,530661,E92000001,E12000001,E14000733,,,,6570,33,269,1241,639,73,22448,2276,561,3131,509,54589
E06000002,Middlesbrough,450380,516653,E92000001,E12000001,E14000819,,,,9478,28,469,2264,2050,99,30745,4060,1121,5129,993,87490
E06000003,Redcar and Cleveland,463383,518023,E92000001,E12000001,E14000820,,,,10019,19,556,1592,758,126,33885,3032,632,4096,907,80910
E06000004,Stockton-on-Tees,443484,518785,E92000001,E12000001,E14000970,,,,18809,45,526,2256,1319,195,50924,4392,1260,5439,1278,110152
E06000005,Darlington,429038,517147,E92000001,E12000001,E14000658,,,,11962,18,403,1405,720,122,25487,2742,966,4982,489,58503
E06000006,Halton,352162,383230,E92000001,E12000002,E14000725,,,,14548,26,470,1916,492,232,31780,3231,1182,4296,534,69772
E06000011,East Riding of Yorkshire,499908,442365,E92000001,E12000003,E14000556,,,,38568,57,782,1936,388,697,89258,6390,4063,12269,1713,186095
E06000012,North East Lincolnshire,523749,406881,E92000001,E12000003,E14000643,,,,9605,19,157,2272,567,359,41180,4040,3423,6360,868,88114
E06000014,York,461737,451799,E92000001,E12000003,E14001062,,,,34159,53,593,3194,384,526,35183,2826,7001,11480,797,106623
E06000015,Derby,435851,335169,E92000001,E12000004,E14000662,,,,27260,83,537,5982,2065,547,57902,6705,2956,11079,1085,145163
E06000017,Rutland,491121,307844,E92000001,E12000004,E14000909,,,,6404,8,99,70,35,59,9037,516,368,2004,184,22266
E06000018,Nottingham,455451,340739,E92000001,E12000004,E14000865,,,,32915,2760,810,15217,1496,553,50069,5931,3565,13748,1803,194765
E06000019,Herefordshire,349035,245285,E92000001,E12000005,E14000743,,,,22618,31,271,555,248,404,47936,3640,2569,9391,846,98523
E06000020,Telford and Wrekin,367109,314837,E92000001,E12000005,E14000989,,,,20430,41,525,1134,2347,364,48046,5392,1297,5159,762,100044
E06000021,Stoke-on-Trent,389018,346716,E92000001,E12000005,E14000974,,,,17161,33,452,3679,3933,561,65636,8760,1620,9618,1127,145789
E06000023,Bristol,346546,172919,E92000001,E12000009,E14000599,,,,92026,115,1650,14617,999,1545,78915,7329,12466,26730,2120,233955
E06000024,North Somerset,344429,165882,E92000001,E12000009,E14000850,,,,33466,30,801,1782,386,509,51958,3798,1951,7185,833,114026
E06000026,Plymouth,249389,56735,E92000001,E12000009,E14000879,,,,25656,44,371,7672,1201,1582,61976,6220,2554,12221,1520,143677
E06000027,Torbay,291417,61223,E92000001,E12000009,E14000999,,,,12155,20,340,1971,379,580,31532,3068,702,7442,746,80389
E06000031,Peterborough,518343,302621,E92000001,E12000006,E14000855,,,,24747,86,975,3644,2289,421,48971,7145,3823,7664,1203,114705
E06000032,Luton,508515,222915,E92000001,E12000006,E14000801,,,,21199,334,2509,6718,1816,264,47641,6719,1103,8955,1463,126541
E06000035,Medway,578769,172759,E92000001,E12000008,E14000626,,,,34466,313,5339,3090,815,807,69504,6301,942,9519,1510,147167
E06000036,Bracknell Forest,487739,168395,E92000001,E12000008,E14000586,,,,26512,68,976,733,242,287,30194,2160,912,3755,557,58210
E06000037,West Berkshire,448409,172535,E92000001,E12000008,E14000830,,,,33988,65,918,1217,133,292,35715,2773,1250,5310,651,79141
E06000038,Reading,470639,173186,E92000001,E12000008,E14000889,,,,34950,141,2412,6584,318,349,27914,2905,2361,10088,844,85358
E06000039,Slough,498180,179746,E92000001,E12000008,E14000930,,,,19976,587,2323,3147,928,330,34407,3784,1529,5677,1011,84799
E06000040,Windsor and Maidenhead,490435,177040,E92000001,E12000008,E14000803,,,,36565,206,1862,444,331,247,27949,1948,1006,4969,774,77194
E06000041,Wokingham,477672,170613,E92000001,E12000008,E14000586,,,,45352,124,1376,1336,122,264,33381,2121,1157,3578,656,88035
E06000042,Milton Keynes,486881,243629,E92000001,E12000008,E14000821,,,,52198,228,1915,4533,2856,448,62713,6985,2809,7288,1406,143682
E06000043,Brighton and Hove,531606,106526,E92000001,E12000008,E14000597,,,,59495,158,3539,9946,539,931,34893,3085,5282,19855,1567,137812
E06000044,Portsmouth,465010,102752,E92000001,E12000008,E14000883,,,,24315,63,1894,4968,1291,807,40707,4854,5128,12424,1336,110216
E06000045,Southampton,442376,113232,E92000001,E12000008,E14000901,,,,30282,84,1430,7835,861,787,51655,5945,3605,14255,1493,130694
E06000047,County Durham,410446,533389,E92000001,E12000001,E14000840,,,,53014,98,730,7478,1414,585,127527,11802,1607,15713,2252,299853
E06000050,Cheshire West and Chester,350919,367257,E92000001,E12000002,E14000640,,,,53184,90,1291,2913,988,669,85824,6624,3399,12543,1562,188062
E06000051,Shropshire,350424,304422,E92000001,E12000005,E14000992,,,,41525,35,762,1110,731,428,83469,6421,2926,13662,1353,171183
E06000053,Isles of Scilly,91546,11139,E92000001,E12000009,E14000964,,,,322,0,1,7,1,9,282,19,127,309,38,940
E06000054,Wiltshire,403934,155301,E92000001,E12000009,E14000954,,,,85967,152,1738,3845,468,1103,122462,8743,4445,21174,2244,257988
E06000055,Bedford,504237,255656,E92000001,E12000006,E14000552,,,,28568,106,1352,1782,1102,356,42890,4403,2529,6935,842,94360
E06000056,Central Bedfordshire,507413,235392,E92000001,E12000006,E14000801,,,,52153,205,3042,1560,373,470,76820,4976,1505,8754,1219,143175
E06000057,Northumberland,395886,594161,E92000001,E12000001,E14000554,,,,38430,206,610,3995,586,286,76220,5930,1463,11346,1705,179790
E06000058,Bournemouth Christchurch and Poole,408362,94131,E92000001,E12000009,E14000584,,,,55150,133,1030,8312,574,1492,89083,6898,5984,15391,1985,214164
E06000059,Dorset,376581,100771,E92000001,E12000009,E14000638,,,,47397,103,731,1888,373,1009,90473,5656,2973,15429,1745,211802
E06000060,Buckinghamshire,482081,210241,E92000001,E12000008,E14000631,,,,112181,1917,4044,3830,1635,892,119924,8242,2218,15888,2465,279842
E06000061,North Northamptonshire,493494,281667,E92000001,E12000004,E14000648,,,,42162,107,921,2469,1739,604,101925,10782,2905,13596,1645,180670
E06000062,West Northamptonshire,465908,258722,E92000001,E12000004,E14000660,,,,62832,151,1249,7640,1282,722,110576,11275,3308,14950,2009,209730
E07000008,Cambridge,545770,257755,E92000001,E12000006,E14000934,,,,32113,85,806,2515,423,373,13485,1530,11836,6858,572,75076
E07000009,East Cambridgeshire,556466,274112,E92000001,E12000006,E14000842,,,,15606,16,894,320,105,173,22735,1473,812,2211,350,43067
E07000010,Fenland,539807,298084,E92000001,E12000006,E14000842,,,,9463,26,294,528,129,218,28166,2708,1457,3654,467,55357
E07000012,South Cambridgeshire,542444,254795,E92000001,E12000006,E14000934,,,,36046,64,685,1604,172,430,33507,2057,3997,3131,573,79852
E07000026,Allerdale,319765,535836,E92000001,E12000002,E14000647,,,,10757,17,196,992,92,129,24859,2036,407,4328,422,51919
E07000027,Barrow-in-Furness,320831,470657,E92000001,E12000002,E14000543,,,,6051,5,250,937,387,366,15685,1755,1030,4403,313,36224
E07000028,Carlisle,348339,564335,E92000001,E12000002,E14000620,,,,10187,19,195,1791,200,146,29906,2449,1188,6347,521,57074
E07000029,Copeland,310947,502927,E92000001,E12000002,E14000647,,,,7778,14,316,861,120,202,16849,1573,374,2218,266,36506
